game_pk,home_team,away_team,home_flg,away_flg
746166,Los Angeles Dodgers,St. Louis Cardinals,0,0
746899,Chicago Cubs,Colorado Rockies,0,0
744875,Washington Nationals,Pittsburgh Pirates,0,0
747058,Baltimore Orioles,Kansas City Royals,0,0
745600,Philadelphia Phillies,Cincinnati Reds,1,0
746085,Miami Marlins,Los Angeles Angels,1,0
745109,Tampa Bay Rays,Texas Rangers,0,1
745842,New York Mets,Detroit Tigers,0,0
746409,Houston Astros,Toronto Blue Jays,1,0
745675,Oakland Athletics,Boston Red Sox,0,1
745277,Seattle Mariners,Cleveland Guardians,0,0
745437,San Diego Padres,St. Louis Cardinals,0,1
747218,Arizona Diamondbacks,New York Yankees,0,0
746170,Los Angeles Dodgers,San Francisco Giants,1,0
746009,Milwaukee Brewers,Minnesota Twins,0,0
747057,Baltimore Orioles,Kansas City Royals,0,0
745598,Philadelphia Phillies,Cincinnati Reds,1,0
746086,Miami Marlins,Los Angeles Angels,0,0
745111,Tampa Bay Rays,Texas Rangers,0,0
746898,Chicago Cubs,Colorado Rockies,1,0
746814,Chicago White Sox,Atlanta Braves,0,0
746411,Houston Astros,Toronto Blue Jays,0,0
745680,Oakland Athletics,Boston Red Sox,0,1
745273,Seattle Mariners,Cleveland Guardians,0,0
745439,San Diego Padres,St. Louis Cardinals,0,0
747220,Arizona Diamondbacks,New York Yankees,1,0
746169,Los Angeles Dodgers,San Francisco Giants,1,0
747059,Baltimore Orioles,Kansas City Royals,0,1
745114,Tampa Bay Rays,Texas Rangers,0,0
746083,Miami Marlins,Los Angeles Angels,0,1
746008,Milwaukee Brewers,Minnesota Twins,0,0
745678,Oakland Athletics,Boston Red Sox,0,0
747219,Arizona Diamondbacks,New York Yankees,0,0
745603,Philadelphia Phillies,Cincinnati Reds,0,0
745275,Seattle Mariners,Cleveland Guardians,0,1
745440,San Diego Padres,St. Louis Cardinals,1,0
744869,Washington Nationals,Pittsburgh Pirates,0,0
746900,Chicago Cubs,Colorado Rockies,0,0
746407,Houston Astros,Toronto Blue Jays,0,0
746163,Los Angeles Dodgers,San Francisco Giants,0,0
745844,New York Mets,Detroit Tigers,0,0
745843,New York Mets,Detroit Tigers,0,0
744870,Washington Nationals,Pittsburgh Pirates,0,1
745928,Minnesota Twins,Cleveland Guardians,0,0
745200,St. Louis Cardinals,Miami Marlins,0,0
746327,Kansas City Royals,Chicago White Sox,0,0
745764,New York Yankees,Toronto Blue Jays,0,0
746497,Detroit Tigers,Oakland Athletics,0,0
746897,Chicago Cubs,Los Angeles Dodgers,0,1
746576,Colorado Rockies,Tampa Bay Rays,1,1
745524,Pittsburgh Pirates,Baltimore Orioles,0,0
745361,San Francisco Giants,San Diego Padres,1,1
746733,Cincinnati Reds,New York Mets,1,0
744874,Washington Nationals,Philadelphia Phillies,0,0
747143,Atlanta Braves,Arizona Diamondbacks,1,1
746328,Kansas City Royals,Chicago White Sox,1,0
745033,Texas Rangers,Houston Astros,0,0
746007,Milwaukee Brewers,Seattle Mariners,0,0
746249,Los Angeles Angels,Boston Red Sox,0,0
746498,Detroit Tigers,Oakland Athletics,0,1
745926,Minnesota Twins,Cleveland Guardians,1,0
745197,St. Louis Cardinals,Miami Marlins,0,0
746896,Chicago Cubs,Los Angeles Dodgers,0,0
745522,Pittsburgh Pirates,Baltimore Orioles,0,0
744873,Washington Nationals,Philadelphia Phillies,0,0
746731,Cincinnati Reds,New York Mets,0,0
745031,Texas Rangers,Houston Astros,0,0
745766,New York Yankees,Toronto Blue Jays,1,0
746329,Kansas City Royals,Chicago White Sox,0,0
746006,Milwaukee Brewers,Seattle Mariners,0,0
747140,Atlanta Braves,Arizona Diamondbacks,0,1
746575,Colorado Rockies,Tampa Bay Rays,0,1
745359,San Francisco Giants,San Diego Padres,0,1
746248,Los Angeles Angels,Boston Red Sox,0,0
745523,Pittsburgh Pirates,Baltimore Orioles,0,0
744871,Washington Nationals,Philadelphia Phillies,0,0
747141,Atlanta Braves,Arizona Diamondbacks,0,0
745765,New York Yankees,Toronto Blue Jays,0,0
746734,Cincinnati Reds,New York Mets,0,1
746493,Detroit Tigers,Oakland Athletics,0,1
746330,Kansas City Royals,Chicago White Sox,0,0
746003,Milwaukee Brewers,Seattle Mariners,1,1
745198,St. Louis Cardinals,Miami Marlins,0,1
746895,Chicago Cubs,Los Angeles Dodgers,1,0
746574,Colorado Rockies,Tampa Bay Rays,0,0
745362,San Francisco Giants,San Diego Padres,0,1
746251,Los Angeles Angels,Boston Red Sox,0,0
745032,Texas Rangers,Houston Astros,0,0
746654,Cleveland Guardians,Chicago White Sox,0,0
745761,New York Yankees,Miami Marlins,0,0
745520,Pittsburgh Pirates,Detroit Tigers,0,1
746735,Cincinnati Reds,Milwaukee Brewers,0,0
744956,Toronto Blue Jays,Seattle Mariners,0,0
747142,Atlanta Braves,New York Mets,0,0
745925,Minnesota Twins,Los Angeles Dodgers,0,1
745194,St. Louis Cardinals,Philadelphia Phillies,0,0
745034,Texas Rangers,Houston Astros,1,1
746569,Colorado Rockies,Arizona Diamondbacks,1,0
746252,Los Angeles Angels,Tampa Bay Rays,1,0
745432,San Diego Padres,Chicago Cubs,0,0
745363,San Francisco Giants,Washington Nationals,1,0
745517,Pittsburgh Pirates,Detroit Tigers,0,1
746981,Boston Red Sox,Baltimore Orioles,1,0
746653,Cleveland Guardians,Chicago White Sox,1,1
746732,Cincinnati Reds,Milwaukee Brewers,0,0
745762,New York Yankees,Miami Marlins,0,0
