date,game_pk,away_score,away_team,home_team,home_score,win_team,lose_team,win_score,lose_score
2024-04-08,747142,8,New York Mets,Atlanta Braves,7,New York Mets,Atlanta Braves,8,7
2024-04-08,745925,4,Los Angeles Dodgers,Minnesota Twins,2,Los Angeles Dodgers,Minnesota Twins,4,2
2024-04-08,745194,5,Philadelphia Phillies,St. Louis Cardinals,3,Philadelphia Phillies,St. Louis Cardinals,5,3
2024-04-08,745034,10,Houston Astros,Texas Rangers,5,Houston Astros,Texas Rangers,10,5
2024-04-08,746569,5,Arizona Diamondbacks,Colorado Rockies,7,Colorado Rockies,Arizona Diamondbacks,7,5
2024-04-08,746252,1,Tampa Bay Rays,Los Angeles Angels,7,Los Angeles Angels,Tampa Bay Rays,7,1
2024-04-08,745432,8,Chicago Cubs,San Diego Padres,9,San Diego Padres,Chicago Cubs,9,8
2024-04-08,745363,8,Washington Nationals,San Francisco Giants,1,Washington Nationals,San Francisco Giants,8,1
2024-04-09,745517,5,Detroit Tigers,Pittsburgh Pirates,3,Detroit Tigers,Pittsburgh Pirates,5,3
2024-04-09,746981,7,Baltimore Orioles,Boston Red Sox,1,Baltimore Orioles,Boston Red Sox,7,1
2024-04-09,746653,7,Chicago White Sox,Cleveland Guardians,5,Chicago White Sox,Cleveland Guardians,7,5
2024-04-09,746732,9,Milwaukee Brewers,Cincinnati Reds,5,Milwaukee Brewers,Cincinnati Reds,9,5
2024-04-09,745762,2,Miami Marlins,New York Yankees,3,New York Yankees,Miami Marlins,3,2
2024-04-09,744957,3,Seattle Mariners,Toronto Blue Jays,5,Toronto Blue Jays,Seattle Mariners,5,3
2024-04-09,747138,5,New York Mets,Atlanta Braves,6,Atlanta Braves,New York Mets,6,5
2024-04-09,746326,3,Houston Astros,Kansas City Royals,4,Kansas City Royals,Houston Astros,4,3
2024-04-09,745924,6,Los Angeles Dodgers,Minnesota Twins,3,Los Angeles Dodgers,Minnesota Twins,6,3
2024-04-09,745195,0,Philadelphia Phillies,St. Louis Cardinals,3,St. Louis Cardinals,Philadelphia Phillies,3,0
2024-04-09,745030,4,Oakland Athletics,Texas Rangers,3,Oakland Athletics,Texas Rangers,4,3
2024-04-09,746571,3,Arizona Diamondbacks,Colorado Rockies,2,Arizona Diamondbacks,Colorado Rockies,3,2
2024-04-09,746250,6,Tampa Bay Rays,Los Angeles Angels,4,Tampa Bay Rays,Los Angeles Angels,6,4
2024-04-09,745357,5,Washington Nationals,San Francisco Giants,3,Washington Nationals,San Francisco Giants,5,3
2024-04-09,745433,5,Chicago Cubs,San Diego Padres,1,Chicago Cubs,San Diego Padres,5,1
2024-04-10,745923,2,Los Angeles Dodgers,Minnesota Twins,3,Minnesota Twins,Los Angeles Dodgers,3,2
2024-04-10,745196,4,Philadelphia Phillies,St. Louis Cardinals,3,Philadelphia Phillies,St. Louis Cardinals,4,3
2024-04-10,744950,6,Seattle Mariners,Toronto Blue Jays,1,Seattle Mariners,Toronto Blue Jays,6,1
2024-04-10,746573,5,Arizona Diamondbacks,Colorado Rockies,3,Arizona Diamondbacks,Colorado Rockies,5,3
2024-04-10,745355,1,Washington Nationals,San Francisco Giants,7,San Francisco Giants,Washington Nationals,7,1
2024-04-10,746247,4,Tampa Bay Rays,Los Angeles Angels,2,Tampa Bay Rays,Los Angeles Angels,4,2
2024-04-10,746655,6,Chicago White Sox,Cleveland Guardians,7,Cleveland Guardians,Chicago White Sox,7,6
2024-04-10,745429,2,Chicago Cubs,San Diego Padres,10,San Diego Padres,Chicago Cubs,10,2
2024-04-10,746728,7,Milwaukee Brewers,Cincinnati Reds,2,Milwaukee Brewers,Cincinnati Reds,7,2
2024-04-10,745763,5,Miami Marlins,New York Yankees,2,Miami Marlins,New York Yankees,5,2
2024-04-10,746980,7,Baltimore Orioles,Boston Red Sox,5,Baltimore Orioles,Boston Red Sox,7,5
2024-04-10,746323,2,Houston Astros,Kansas City Royals,11,Kansas City Royals,Houston Astros,11,2
2024-04-10,745024,2,Oakland Athletics,Texas Rangers,6,Texas Rangers,Oakland Athletics,6,2
2024-04-11,747137,16,New York Mets,Atlanta Braves,4,New York Mets,Atlanta Braves,16,4
2024-04-11,746322,3,Houston Astros,Kansas City Royals,13,Kansas City Royals,Houston Astros,13,3
2024-04-11,745029,1,Oakland Athletics,Texas Rangers,0,Oakland Athletics,Texas Rangers,1,0
2024-04-11,745601,1,Pittsburgh Pirates,Philadelphia Phillies,5,Philadelphia Phillies,Pittsburgh Pirates,5,1
2024-04-11,746977,9,Baltimore Orioles,Boston Red Sox,4,Baltimore Orioles,Boston Red Sox,9,4
2024-04-12,746491,2,Minnesota Twins,Detroit Tigers,8,Detroit Tigers,Minnesota Twins,8,2
2024-04-12,745596,5,Pittsburgh Pirates,Philadelphia Phillies,2,Pittsburgh Pirates,Philadelphia Phillies,5,2
2024-04-12,745112,1,San Francisco Giants,Tampa Bay Rays,2,Tampa Bay Rays,San Francisco Giants,2,1
2024-04-12,747055,11,Milwaukee Brewers,Baltimore Orioles,1,Milwaukee Brewers,Baltimore Orioles,11,1
2024-04-12,744954,12,Colorado Rockies,Toronto Blue Jays,4,Colorado Rockies,Toronto Blue Jays,12,4
