date,game_pk,away_score,away_team,home_team,home_score,win_team,lose_team,win_score,lose_score,first_scorer
2024-06-20,745645,3,Kansas City Royals,Oakland Athletics,2,Kansas City Royals,Oakland Athletics,3,2,Kansas City Royals
2024-06-20,745734,17,Baltimore Orioles,New York Yankees,5,Baltimore Orioles,New York Yankees,17,5,Baltimore Orioles
2024-06-20,745164,5,San Francisco Giants,St. Louis Cardinals,6,St. Louis Cardinals,San Francisco Giants,6,5,St. Louis Cardinals
2024-06-20,745401,6,Milwaukee Brewers,San Diego Padres,7,San Diego Padres,Milwaukee Brewers,7,6,Milwaukee Brewers
2024-06-21,746861,11,New York Mets,Chicago Cubs,1,New York Mets,Chicago Cubs,11,1,New York Mets
2024-06-21,745483,10,Tampa Bay Rays,Pittsburgh Pirates,3,Tampa Bay Rays,Pittsburgh Pirates,10,3,Tampa Bay Rays
2024-06-21,745562,5,Arizona Diamondbacks,Philadelphia Phillies,4,Arizona Diamondbacks,Philadelphia Phillies,5,4,Arizona Diamondbacks
2024-06-21,746460,1,Chicago White Sox,Detroit Tigers,2,Detroit Tigers,Chicago White Sox,2,1,Detroit Tigers
2024-06-21,745729,8,Atlanta Braves,New York Yankees,1,Atlanta Braves,New York Yankees,8,1,Atlanta Braves
2024-06-21,746698,2,Boston Red Sox,Cincinnati Reds,5,Cincinnati Reds,Boston Red Sox,5,2,Cincinnati Reds
2024-06-21,746624,1,Toronto Blue Jays,Cleveland Guardians,7,Cleveland Guardians,Toronto Blue Jays,7,1,Cleveland Guardians
2024-06-21,746052,2,Seattle Mariners,Miami Marlins,3,Miami Marlins,Seattle Mariners,3,2,Seattle Mariners
2024-06-21,745006,2,Kansas City Royals,Texas Rangers,6,Texas Rangers,Kansas City Royals,6,2,Kansas City Royals
2024-06-21,746375,11,Baltimore Orioles,Houston Astros,14,Houston Astros,Baltimore Orioles,14,11,Houston Astros
2024-06-21,746540,11,Washington Nationals,Colorado Rockies,5,Washington Nationals,Colorado Rockies,11,5,Washington Nationals
2024-06-21,745649,5,Minnesota Twins,Oakland Athletics,6,Oakland Athletics,Minnesota Twins,6,5,Minnesota Twins
2024-06-21,745403,5,Milwaukee Brewers,San Diego Padres,9,San Diego Padres,Milwaukee Brewers,9,5,San Diego Padres
2024-06-21,746131,3,Los Angeles Angels,Los Angeles Dodgers,2,Los Angeles Angels,Los Angeles Dodgers,3,2,Los Angeles Dodgers
2024-06-22,746459,5,Chicago White Sox,Detroit Tigers,1,Chicago White Sox,Detroit Tigers,5,1,Chicago White Sox
2024-06-22,745163,4,San Francisco Giants,St. Louis Cardinals,9,St. Louis Cardinals,San Francisco Giants,9,4,San Francisco Giants
2024-06-22,746863,1,New York Mets,Chicago Cubs,8,Chicago Cubs,New York Mets,8,1,Chicago Cubs
2024-06-22,745486,3,Tampa Bay Rays,Pittsburgh Pirates,4,Pittsburgh Pirates,Tampa Bay Rays,4,3,Tampa Bay Rays
2024-06-22,744997,0,Kansas City Royals,Texas Rangers,6,Texas Rangers,Kansas City Royals,6,0,Texas Rangers
2024-06-22,745564,1,Arizona Diamondbacks,Philadelphia Phillies,12,Philadelphia Phillies,Arizona Diamondbacks,12,1,Philadelphia Phillies
2024-06-22,745644,10,Minnesota Twins,Oakland Athletics,2,Minnesota Twins,Oakland Athletics,10,2,Minnesota Twins
2024-06-22,746700,4,Boston Red Sox,Cincinnati Reds,3,Boston Red Sox,Cincinnati Reds,4,3,Cincinnati Reds
2024-06-22,746376,1,Baltimore Orioles,Houston Astros,5,Houston Astros,Baltimore Orioles,5,1,Baltimore Orioles
2024-06-22,746622,3,Toronto Blue Jays,Cleveland Guardians,6,Cleveland Guardians,Toronto Blue Jays,6,3,Toronto Blue Jays
2024-06-22,746048,9,Seattle Mariners,Miami Marlins,0,Seattle Mariners,Miami Marlins,9,0,Seattle Mariners
2024-06-22,745731,3,Atlanta Braves,New York Yankees,8,New York Yankees,Atlanta Braves,8,3,Atlanta Braves
2024-06-22,745402,4,Milwaukee Brewers,San Diego Padres,6,San Diego Padres,Milwaukee Brewers,6,4,San Diego Padres
2024-06-22,746541,7,Washington Nationals,Colorado Rockies,8,Colorado Rockies,Washington Nationals,8,7,Colorado Rockies
2024-06-22,746132,2,Los Angeles Angels,Los Angeles Dodgers,7,Los Angeles Dodgers,Los Angeles Angels,7,2,Los Angeles Dodgers
2024-06-23,745566,1,Arizona Diamondbacks,Philadelphia Phillies,4,Philadelphia Phillies,Arizona Diamondbacks,4,1,Philadelphia Phillies
2024-06-23,745485,3,Tampa Bay Rays,Pittsburgh Pirates,1,Tampa Bay Rays,Pittsburgh Pirates,3,1,Tampa Bay Rays
2024-06-23,745727,3,Atlanta Braves,New York Yankees,1,Atlanta Braves,New York Yankees,3,1,Atlanta Braves
2024-06-23,746699,7,Boston Red Sox,Cincinnati Reds,4,Boston Red Sox,Cincinnati Reds,7,4,Boston Red Sox
2024-06-23,746621,5,Toronto Blue Jays,Cleveland Guardians,6,Cleveland Guardians,Toronto Blue Jays,6,5,Toronto Blue Jays
2024-06-23,746457,2,Chicago White Sox,Detroit Tigers,11,Detroit Tigers,Chicago White Sox,11,2,Detroit Tigers
2024-06-23,746051,4,Seattle Mariners,Miami Marlins,6,Miami Marlins,Seattle Mariners,6,4,Miami Marlins
2024-06-23,746373,1,Baltimore Orioles,Houston Astros,8,Houston Astros,Baltimore Orioles,8,1,Houston Astros
2024-06-23,745165,3,San Francisco Giants,St. Louis Cardinals,5,St. Louis Cardinals,San Francisco Giants,5,3,St. Louis Cardinals
2024-06-23,745000,0,Kansas City Royals,Texas Rangers,4,Texas Rangers,Kansas City Royals,4,0,Texas Rangers
